city,district,sector,urban_level,market_access_score,competition_index,location_cost_index,business_main_group,business_subgroup,business_age_years,monthly_revenue,monthly_expenses,net_profit_margin,current_assets_value,current_liabilities_value,requested_loan_amount,desired_repayment_period_months,credit_score,existing_loans,repayment_history_score,seasonality_factor,economic_outlook_index,interest_rate_environment,loan_purpose,cash_flow_stability_score,ownership_type,business_stage,business_risk_level,preferred_funding_partner,expected_roi_percentage,predicted_profit_from_loan,total_repayment_amount,net_gain_or_loss
Kigali,Nyarugenge,Nyamirambo,Urban,6,4,4,Agriculture,Bee Keeping,1,3244535,2524916,0.22,8728781,1469582,16857542,24,836,3,59,Yes,-0.94,14.0,Inventory,85,Sole Proprietorship,Declining,Medium,Equity Bank,8,1348603.36,19217597.88,-1011452.52
Kigali,Kicukiro,Kicukiro Centre,Urban,6,4,9,Manufacturing,Bakery,20,3453859,353818,0.9,869921,300131,19592425,18,649,5,98,No,0.09,13.0,Expansion,40,Partnership,Declining,Low,Equity Bank,46,9012515.5,22139440.25,6465500.25
Kigali,Kicukiro,Gatenga,Urban,7,3,6,Automotive,Motorcycle Repair,14,4591677,3002431,0.35,5896203,129031,9044063,18,732,3,72,Yes,-0.14,14.0,Inventory,85,Cooperative,Early Stage,High,VisionFund,48,4341150.24,10310231.82,3074981.42
Musanze,Busogo,Busogo II,Peri-Urban,9,3,3,Automotive,Garage Services,13,4100709,1916440,0.53,9902517,1005513,17309972,36,717,5,86,Yes,-0.68,14.0,Tech Adoption,74,Partnership,Early Stage,Low,Bank of Kigali,9,1557897.48,19733368.08,-865498.6
Nyagatare,Rukomo,Rukomo II,Rural,6,10,4,Services,Salon,18,3498509,814819,0.77,5406339,1871492,12533971,24,612,5,84,No,0.03,13.0,Tech Adoption,63,Partnership,Growth,Medium,BRD,28,3509511.88,14163387.23,1880095.65
Musanze,Busogo,Busogo I,Peri-Urban,9,5,9,Services,Laundry Service,16,3804262,1865181,0.51,6626463,251057,603051,6,791,0,84,No,-0.27,15.0,Expansion,37,Cooperative,Declining,Low,Bank of Kigali,14,84427.14,693508.65,-6030.51
Nyagatare,Rukomo,Rukomo II,Rural,4,8,9,Services,Internet Cafe,7,3624490,1672170,0.54,9964737,1470828,12964995,36,647,3,57,Yes,0.09,14.0,Expansion,41,Sole Proprietorship,Declining,Medium,BRD,28,3630198.6,14780094.3,1815099.3
Rubavu,Kanama,Nyundo,Urban,8,4,8,Automotive,Car Wash,9,520495,258567,0.5,7367793,218221,15911580,12,492,2,65,No,-0.86,15.0,Inventory,28,Partnership,Early Stage,High,VisionFund,22,3500547.6,18298317.0,1113810.6
Kigali,Gasabo,Kimironko,Urban,6,2,4,Agriculture,Pig Farming,18,3606116,1308786,0.64,7753588,326732,3336293,36,490,1,6,Yes,-0.56,14.0,Inventory,85,Sole Proprietorship,Growth,High,SACCO,43,1434605.99,3803374.02,967524.97
Rubavu,Kanama,Kanama Centre,Urban,5,4,7,Agriculture,Bee Keeping,7,1416899,279361,0.8,6266436,186991,19532099,24,822,4,22,No,-0.91,13.0,Equipment Purchase,42,Sole Proprietorship,Early Stage,High,SACCO,43,8398802.57,22071271.87,5859629.7
Nyagatare,Rukomo,Rukomo I,Rural,5,5,8,Automotive,Motorcycle Repair,20,1268589,1007565,0.21,7524066,269049,15063241,18,529,0,99,No,0.84,12.5,Inventory,68,Partnership,Early Stage,Low,Equity Bank,40,6025296.4,16946146.12,4142391.28
Nyagatare,Rukomo,Rukomo I,Rural,10,6,4,Manufacturing,Soap Making,19,4787599,719160,0.85,4454243,515967,4581578,12,800,5,47,Yes,0.65,15.0,Expansion,30,Sole Proprietorship,Early Stage,Low,BRD,43,1970078.54,5268814.7,1282841.84
Huye,Ngoma,Butare,Peri-Urban,6,3,9,Services,Internet Cafe,6,2531816,911308,0.64,6166716,144870,6880157,18,764,4,75,No,0.39,15.0,Tech Adoption,94,Sole Proprietorship,Early Stage,Low,Bank of Kigali,47,3233673.79,7912180.55,2201650.24
Kigali,Nyarugenge,Nyamirambo,Urban,9,2,4,Agriculture,Pig Farming,8,3157605,907027,0.71,4672194,549565,1538525,18,320,3,89,No,0.26,15.0,Equipment Purchase,97,Partnership,Mature,High,VisionFund,12,184623.0,1769303.75,-46155.75
Nyagatare,Rukomo,Rukomo II,Rural,5,3,5,Retail,Electronics Store,1,2408870,2061164,0.14,177028,19056,15774330,36,466,1,0,No,-0.47,14.0,Tech Adoption,4,Partnership,Declining,Medium,VisionFund,33,5205528.9,17982736.2,2997122.7
Huye,Tumba,Cyarwa,Peri-Urban,5,5,9,Retail,Beans Shop,5,3461453,2809434,0.19,3481837,98994,15575741,24,827,0,31,Yes,-0.49,14.0,Tech Adoption,24,Sole Proprietorship,Declining,Medium,BRD,41,6386053.81,17756344.74,4205450.07
Rubavu,Gisenyi,Gisenyi Town,Urban,10,6,9,Manufacturing,Furniture Making,20,4601826,2015240,0.56,3825589,772468,10090814,18,765,3,54,No,-0.91,15.0,Inventory,68,Cooperative,Growth,Low,Equity Bank,7,706356.98,11604436.1,-807265.12
Musanze,Busogo,Busogo II,Peri-Urban,10,8,6,Agriculture,Coffee Growing,1,4805673,4570175,0.05,2272748,752451,18662200,36,732,4,75,No,0.67,12.5,Tech Adoption,41,Sole Proprietorship,Mature,Low,Equity Bank,26,4852172.0,20994975.0,2519397.0
Kigali,Nyarugenge,Nyamirambo,Urban,8,3,4,Automotive,Car Wash,7,1702136,438858,0.74,6688209,70914,15990539,24,454,5,43,No,0.88,12.5,Expansion,15,Cooperative,Growth,Medium,VisionFund,31,4957067.09,17989356.38,2958249.71
Musanze,Muhoza,Ruhengeri,Peri-Urban,6,1,7,Manufacturing,Metal Works,8,4312753,4028794,0.07,5983051,495979,10005764,36,631,0,3,No,-0.89,13.0,Tech Adoption,64,Partnership,Declining,Medium,VisionFund,34,3401959.76,11306513.32,2101210.44
Musanze,Busogo,Busogo II,Peri-Urban,9,8,5,Automotive,Garage Services,19,1439936,115483,0.92,7508481,143229,2704943,12,546,3,17,No,0.22,15.0,Inventory,36,Cooperative,Mature,Low,BRD,32,865581.76,3110684.45,459840.31
Nyagatare,Karangazi,Karangazi Centre,Rural,7,1,9,Retail,Electronics Store,3,2364973,1990437,0.16,3191520,173036,12625642,6,302,4,100,No,-0.25,13.0,Expansion,60,Cooperative,Declining,Medium,BRD,25,3156410.5,14266975.46,1515077.04
Rubavu,Gisenyi,Gisenyi Town,Urban,9,1,9,Manufacturing,Furniture Making,2,2458040,1852248,0.25,6030107,576228,8239789,6,402,3,39,Yes,-0.28,13.0,Tech Adoption,92,Sole Proprietorship,Declining,Medium,Equity Bank,37,3048721.93,9310961.57,1977549.36
Musanze,Muhoza,Muhoza Centre,Peri-Urban,8,10,6,Retail,Electronics Store,13,2110418,413682,0.8,3504263,1329330,9314412,18,544,2,51,Yes,0.52,14.0,Inventory,55,Sole Proprietorship,Growth,Low,Equity Bank,35,3260044.2,10618429.68,1956026.52
Huye,Tumba,Tumba Village,Peri-Urban,6,1,7,Services,Salon,5,1306291,503420,0.61,8823551,1598350,19351721,6,657,3,87,No,0.08,12.5,Equipment Purchase,44,Partnership,Growth,Medium,Equity Bank,46,8901791.66,21770686.12,6482826.54
Rubavu,Gisenyi,Gisenyi Town,Urban,4,9,3,Automotive,Spare Parts Shop,12,2502459,2233203,0.11,5214092,1318364,14217311,12,591,3,52,No,0.3,12.5,Equipment Purchase,17,Partnership,Early Stage,Low,BRD,13,1848250.43,15994474.88,71086.55
Rubavu,Gisenyi,Rubavu,Urban,6,7,8,Agriculture,Coffee Growing,11,3456062,75522,0.98,7805460,340036,19817671,18,484,5,74,Yes,-0.44,13.0,Inventory,67,Sole Proprietorship,Mature,Low,Bank of Kigali,44,8719775.24,22393968.23,6143478.01
Huye,Ngoma,Butare,Peri-Urban,8,4,6,Services,Internet Cafe,8,207662,158854,0.24,5521639,1404204,14965323,24,768,4,73,Yes,0.12,13.0,Inventory,99,Sole Proprietorship,Growth,Low,Bank of Kigali,29,4339943.67,16910814.99,2394451.68
Kigali,Kicukiro,Kicukiro Centre,Urban,5,1,9,Agriculture,Bee Keeping,2,230713,139071,0.4,8935382,1282222,15491947,18,773,1,15,No,0.31,12.5,Inventory,37,Partnership,Early Stage,Low,BRD,12,1859033.64,17428440.38,-77459.74
Huye,Ngoma,Ngoma Centre,Peri-Urban,7,5,7,Automotive,Spare Parts Shop,9,729268,465800,0.36,7096597,1820521,16080797,12,435,0,99,Yes,0.0,13.0,Tech Adoption,54,Partnership,Declining,Medium,VisionFund,50,8040398.5,18171300.61,5949894.89
Nyagatare,Karangazi,Karangazi Centre,Rural,6,4,6,Retail,Food Market,8,4278948,3283851,0.23,521628,69164,2856450,12,370,0,43,No,0.76,14.0,Inventory,47,Cooperative,Growth,High,VisionFund,40,1142580.0,3256353.0,742677.0
Musanze,Busogo,Busogo I,Peri-Urban,9,3,4,Services,Salon,13,353323,259373,0.27,827669,582319,12621428,36,667,1,35,No,0.25,13.0,Tech Adoption,11,Sole Proprietorship,Declining,Low,Bank of Kigali,49,6184499.72,14262213.64,4543714.08
Nyagatare,Rukomo,Rukomo II,Rural,9,5,5,Manufacturing,Bakery,14,310558,65696,0.79,4363588,50603,13779660,6,303,0,53,No,-0.37,13.0,Expansion,93,Sole Proprietorship,Mature,Low,Bank of Kigali,29,3996101.4,15571015.8,2204745.6
Kigali,Gasabo,Remera,Urban,8,2,8,Services,Laundry Service,19,1221580,137911,0.89,4399750,459823,1575488,12,595,0,84,No,0.28,14.0,Inventory,88,Sole Proprietorship,Mature,Medium,BRD,33,519911.04,1796056.32,299342.72
Huye,Ngoma,Ngoma Centre,Peri-Urban,7,5,4,Agriculture,Agri Supplies,4,365699,230844,0.37,3914238,1687013,7254131,12,604,5,24,No,0.73,15.0,Inventory,66,Sole Proprietorship,Early Stage,Medium,VisionFund,35,2538945.85,8342250.65,1450826.2
Nyagatare,Karangazi,Karangazi Centre,Rural,8,4,8,Services,Repair Workshop,14,1819933,1140776,0.37,1536796,155794,9772780,24,592,3,61,Yes,-0.76,14.0,Equipment Purchase,47,Sole Proprietorship,Declining,Medium,Equity Bank,35,3420473.0,11140969.2,2052283.8
Musanze,Muhoza,Muhoza Centre,Peri-Urban,10,9,7,Agriculture,Maize Farming,2,4740765,4614488,0.03,3586610,250489,16550477,36,396,1,83,No,-0.36,13.0,Equipment Purchase,9,Partnership,Growth,High,SACCO,17,2813581.09,18702039.01,662019.08
Huye,Tumba,Tumba Village,Peri-Urban,4,9,8,Retail,Beans Shop,6,3696125,195706,0.95,4505973,1279458,7619850,36,797,0,72,No,-0.57,12.5,Inventory,74,Sole Proprietorship,Early Stage,Low,Equity Bank,14,1066779.0,8572331.25,114297.75
Rubavu,Gisenyi,Rubavu,Urban,5,6,6,Services,Repair Workshop,12,466486,107287,0.77,7555113,1596616,15960580,12,429,2,99,No,0.61,12.5,Tech Adoption,91,Cooperative,Mature,Low,BRD,39,6224626.2,17955652.5,4229553.7
Nyagatare,Rukomo,Rukomo I,Rural,8,9,6,Retail,Clothing Shop,2,3475891,1837633,0.47,3669993,1865761,5142457,6,308,0,76,Yes,0.99,14.0,Inventory,76,Sole Proprietorship,Growth,Low,Bank of Kigali,24,1234189.68,5862400.98,514245.7
Musanze,Busogo,Busogo II,Peri-Urban,9,2,6,Agriculture,Pig Farming,3,3113949,2335494,0.25,2421528,1552657,15729455,36,314,4,94,No,-0.95,15.0,Expansion,50,Partnership,Declining,Medium,VisionFund,13,2044829.15,18088873.25,-314589.1
Nyagatare,Karangazi,Rwimiyaga,Rural,9,4,5,Retail,Clothing Shop,18,4890543,138123,0.97,1612777,1801852,11831475,6,726,4,97,No,0.45,15.0,Expansion,78,Cooperative,Early Stage,Medium,BRD,24,2839554.0,13606196.25,1064832.75
Rubavu,Kanama,Kanama Centre,Urban,5,9,9,Agriculture,Bee Keeping,11,3512797,692960,0.8,6853214,1353604,10163911,6,557,1,50,No,0.86,15.0,Inventory,92,Cooperative,Growth,Medium,VisionFund,37,3760647.07,11688497.65,2236060.42
Musanze,Busogo,Busogo I,Peri-Urban,8,7,7,Retail,Beans Shop,1,4636881,2271156,0.51,7165077,1563974,6658928,12,398,2,60,Yes,0.98,15.0,Inventory,48,Cooperative,Growth,High,VisionFund,50,3329464.0,7657767.2,2330624.8
Nyagatare,Karangazi,Rwimiyaga,Rural,8,4,6,Retail,Mini Supermarket,15,4189913,313636,0.93,4906112,1933789,396313,18,433,0,76,No,-0.03,14.0,Expansion,83,Cooperative,Declining,Low,Equity Bank,14,55483.82,451796.82,-0.0
Rubavu,Kanama,Kanama Centre,Urban,8,7,7,Services,Laundry Service,17,2359436,676531,0.71,3493177,1541976,17860596,36,565,3,9,No,-0.74,14.0,Inventory,23,Sole Proprietorship,Early Stage,High,SACCO,7,1250241.72,20361079.44,-1250241.72
Musanze,Muhoza,Muhoza Centre,Peri-Urban,6,9,7,Retail,Beans Shop,11,2806298,2451482,0.13,6354934,416550,19814092,24,307,4,56,No,0.71,14.0,Equipment Purchase,4,Partnership,Growth,Low,BRD,46,9114482.32,22588064.88,6340509.44
Musanze,Muhoza,Muhoza Centre,Peri-Urban,10,9,3,Services,Salon,17,2044878,495401,0.76,8553359,157727,3396691,18,450,3,40,No,-0.99,15.0,Inventory,36,Partnership,Mature,Medium,Equity Bank,48,1630411.68,3906194.65,1120908.03
Rubavu,Gisenyi,Rubavu,Urban,9,8,7,Agriculture,Maize Farming,7,2569944,837207,0.67,6946382,1885766,10537035,6,599,1,86,Yes,-0.39,12.5,Tech Adoption,27,Cooperative,Declining,Medium,Equity Bank,11,1159073.85,11854164.38,-158055.53
Musanze,Muhoza,Muhoza Centre,Peri-Urban,9,9,4,Manufacturing,Furniture Making,11,3356164,976335,0.71,6642585,1336128,1905605,18,503,0,57,Yes,0.97,13.0,Expansion,12,Sole Proprietorship,Declining,Medium,VisionFund,21,400177.05,2153333.65,152448.4
Huye,Ngoma,Butare,Peri-Urban,9,7,8,Services,Photocopy Center,4,4779425,178611,0.96,4504697,539978,18993632,18,712,3,28,Yes,-0.1,14.0,Tech Adoption,41,Cooperative,Growth,High,SACCO,18,3418853.76,21652740.48,759745.28
Musanze,Muhoza,Ruhengeri,Peri-Urban,4,6,3,Automotive,Tire Center,1,4970096,58561,0.99,864556,571916,10790230,24,554,0,59,No,0.3,13.0,Inventory,23,Cooperative,Growth,Low,BRD,44,4747701.2,12192959.9,3344971.3
Rubavu,Kanama,Nyundo,Urban,5,6,7,Automotive,Spare Parts Shop,16,532133,102746,0.81,5846548,113247,14875188,24,326,4,2,No,0.86,13.0,Expansion,52,Cooperative,Mature,Medium,VisionFund,12,1785022.56,16808962.44,-148751.88
Rubavu,Kanama,Nyundo,Urban,7,4,8,Services,Laundry Service,9,1553612,1473897,0.05,1515591,509213,18561627,24,566,0,72,Yes,-0.67,12.5,Expansion,92,Cooperative,Declining,High,SACCO,29,5382871.83,20881830.38,3062668.45
Musanze,Busogo,Busogo I,Peri-Urban,10,1,9,Retail,Beans Shop,19,4070517,1874519,0.54,2567029,1796758,14452170,6,596,5,37,No,-0.99,15.0,Expansion,36,Sole Proprietorship,Mature,High,VisionFund,38,5491824.6,16619995.5,3323999.1
Musanze,Muhoza,Ruhengeri,Peri-Urban,7,10,6,Manufacturing,Soap Making,6,639149,76663,0.88,299814,419456,3184457,24,563,2,80,No,0.82,15.0,Inventory,23,Partnership,Growth,High,VisionFund,15,477668.55,3662125.55,0.0
Nyagatare,Rukomo,Rukomo I,Rural,8,4,3,Agriculture,Pig Farming,14,1066026,538565,0.49,476929,979837,5517986,18,463,2,66,No,-0.51,13.0,Inventory,34,Sole Proprietorship,Growth,Medium,Equity Bank,9,496618.74,6235324.18,-220719.44
Rubavu,Kanama,Nyundo,Urban,10,4,9,Manufacturing,Metal Works,3,1378342,964455,0.3,773253,1655601,6528350,18,628,5,23,Yes,-0.93,12.5,Inventory,37,Cooperative,Declining,Medium,Equity Bank,30,1958505.0,7344393.75,1142461.25
Kigali,Gasabo,Kimironko,Urban,8,10,4,Retail,Beans Shop,16,4051356,2285679,0.44,4104525,1182285,5555538,12,800,3,96,Yes,0.11,13.0,Expansion,89,Cooperative,Mature,High,SACCO,9,499998.42,6277757.94,-222221.52
Kigali,Gasabo,Kimironko,Urban,8,2,9,Agriculture,Agri Supplies,14,4939878,3312265,0.33,9806545,1795781,14119811,6,305,3,56,No,-0.7,12.5,Tech Adoption,14,Cooperative,Growth,Medium,Equity Bank,18,2541565.98,15884787.38,776589.6
Nyagatare,Rukomo,Rukomo I,Rural,10,2,3,Services,Laundry Service,10,3426057,3355307,0.02,930000,853615,3757541,6,835,5,62,No,0.4,13.0,Inventory,15,Sole Proprietorship,Early Stage,Low,BRD,33,1239988.53,4246021.33,751508.2
Nyagatare,Karangazi,Rwimiyaga,Rural,5,3,3,Retail,Beans Shop,14,3000752,1138423,0.62,7554632,792329,2424282,6,474,2,12,Yes,0.02,12.5,Inventory,4,Cooperative,Early Stage,Medium,BRD,40,969712.8,2727317.25,666677.55
Musanze,Busogo,Busogo I,Peri-Urban,9,2,6,Manufacturing,Soap Making,14,902320,690485,0.23,4397875,679775,19545102,24,644,5,84,Yes,0.91,12.5,Inventory,96,Partnership,Declining,High,SACCO,44,8599844.88,21988239.75,6156707.13
Rubavu,Kanama,Kanama Centre,Urban,7,9,7,Manufacturing,Soap Making,1,4074224,3283433,0.19,5547248,208595,3732115,18,362,1,58,No,0.12,14.0,Equipment Purchase,2,Cooperative,Declining,High,SACCO,11,410532.65,4254611.1,-111963.45
Rubavu,Gisenyi,Rubavu,Urban,6,8,5,Retail,Mini Supermarket,2,385719,375762,0.03,2117585,1701627,17637973,24,510,0,34,No,-0.58,14.0,Equipment Purchase,54,Sole Proprietorship,Early Stage,Medium,VisionFund,37,6526050.01,20107289.22,4056733.79
Rubavu,Gisenyi,Rubavu,Urban,10,3,7,Agriculture,Bee Keeping,9,3169852,2443438,0.23,1105264,1581487,208800,24,448,3,30,No,0.14,15.0,Tech Adoption,20,Sole Proprietorship,Early Stage,Low,Equity Bank,36,75168.0,240120.0,43848.0
Kigali,Kicukiro,Gatenga,Urban,10,3,7,Retail,Food Market,10,4478498,3995144,0.11,7601776,1524397,16294628,18,679,2,20,No,-0.31,14.0,Expansion,18,Partnership,Mature,High,SACCO,40,6517851.2,18575875.92,4236603.28
Kigali,Kicukiro,Gatenga,Urban,8,3,5,Retail,Food Market,19,183927,134585,0.27,6141009,908972,19923765,24,315,2,70,No,-0.05,13.0,Tech Adoption,67,Partnership,Early Stage,Low,BRD,21,4183990.65,22513854.45,1593901.2
Kigali,Nyarugenge,Nyamirambo,Urban,5,2,5,Retail,Food Market,14,4908814,2872394,0.41,3111917,182796,18220788,6,366,4,23,Yes,-0.13,15.0,Tech Adoption,54,Cooperative,Declining,Medium,Equity Bank,24,4372989.12,20953906.2,1639870.92
Nyagatare,Rukomo,Rukomo II,Rural,7,1,9,Retail,Mini Supermarket,20,4176108,3333636,0.2,5887556,1957527,7006246,36,375,5,62,Yes,0.41,13.0,Inventory,41,Partnership,Early Stage,High,VisionFund,6,420374.76,7917057.98,-490437.22
Kigali,Gasabo,Remera,Urban,10,7,8,Services,Salon,17,3435731,3097970,0.1,9815268,970209,10692503,6,840,1,65,No,-0.25,12.5,Equipment Purchase,68,Cooperative,Growth,Medium,Equity Bank,7,748475.21,12029065.88,-588087.67
Kigali,Nyarugenge,Nyamirambo,Urban,9,5,3,Manufacturing,Furniture Making,19,2939121,2080450,0.29,4120265,1999832,17008599,6,522,1,89,No,0.51,12.5,Equipment Purchase,78,Partnership,Growth,High,VisionFund,37,6293181.63,19134673.88,4167106.75
Nyagatare,Karangazi,Rwimiyaga,Rural,10,4,5,Retail,Clothing Shop,10,510948,489662,0.04,8611651,1300089,12969763,6,732,5,82,Yes,-0.48,13.0,Tech Adoption,20,Cooperative,Early Stage,High,SACCO,34,4409719.42,14655832.19,2723650.23
Rubavu,Kanama,Nyundo,Urban,7,5,6,Services,Internet Cafe,9,3134324,1107604,0.65,3987273,655470,3531195,36,461,1,16,No,-0.27,12.5,Inventory,98,Sole Proprietorship,Declining,Low,BRD,7,247183.65,3972594.38,-194215.73
Nyagatare,Karangazi,Karangazi Centre,Rural,8,4,7,Retail,Clothing Shop,1,4686314,2457839,0.48,2042874,1700694,17525875,24,435,1,56,Yes,0.25,14.0,Tech Adoption,23,Cooperative,Early Stage,Low,Bank of Kigali,46,8061902.5,19979497.5,5608280.0
